layer,workspace,store,title,geometry,crs,features,fields,types
district_Multan,infra_portal,district_Multan,district_Multan,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Musakhel,infra_portal,district_Musakhel,district_Musakhel,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Muzaffarabad,infra_portal,district_Muzaffarabad,district_Muzaffarabad,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Muzaffargarh,infra_portal,district_Muzaffargarh,district_Muzaffargarh,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_na,infra_portal,district_na,district_na,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Nagar,infra_portal,district_Nagar,district_Nagar,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Nankana Sahib,infra_portal,district_Nankana Sahib,district_Nankana Sahib,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Narowal,infra_portal,district_Narowal,district_Narowal,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Nasirabad,infra_portal,district_Nasirabad,district_Nasirabad,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Naushahro Feroze,infra_portal,district_Naushahro Feroze,district_Naushahro Feroze,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Neelam Valley,infra_portal,district_Neelam Valley,district_Neelam Valley,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_North Waziristan,infra_portal,district_North Waziristan,district_North Waziristan,Polygon,EPSG:4326,10,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Nowshera,infra_portal,district_Nowshera,district_Nowshera,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Nushki,infra_portal,district_Nushki,district_Nushki,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Okara,infra_portal,district_Okara,district_Okara,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Orakzai,infra_portal,district_Orakzai,district_Orakzai,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
